"ID","sentimentScore","text","positveSentimentScore","negativeSentimentScore","party","twitter.handle","weeksTillElection"
888692263802601472,"-1","vorsprung durch leckmich kartell",1,-1,"GRUENE","lisapaus",9
857203695452377088,"-1","gefaehr relativismus linksextrem gewalt von link agh berlin",1,-1,"AfD","haraldlaatsch",21
902104017962139648,"-1","gauland will ein deutsch mit tuerkisch wurzeln die mitglied der bundesregier ist entsorg das nennt man rassismus",1,-1,"CDU","petertauber",3
905112113621950464,"-1","estland sicherheitslueck fast card",1,-1,"GRUENE","mustihb",2
905386756257796096,"-1","wenn merkel die migrant unbedingt will kann sie sie doch ihr gart unterbring afd eugh traudichdeutschland",2,-1,"AfD","UbbelohdeBerlin",2
885095376272973824,"-1","wied anschlaeg auf zwei polit neukoelln neonazis zuend autos",1,-1,"GRUENE","lisapaus",10
836338884095127552,"-1","and nenn berufsausueb missacht der pressefrei und verletz von recht",1,-1,"DIE LINKE","HPetzold",29
857927053789810688,"-1","afd stadtrat eberhard brett opf brutal link gewalt krankenhaus stuttgart linksextremismus antifa",1,-3,"AfD","Joerg_Meuthen",21
858380437378420736,"-1","studiengebuehr fuer auslaend bad wuerttemberg das ist gruen arroganz pur und das zeit recht hetz schaemt euch bau maut",2,-1,"SPD","StochAndreas",21
904632211814670336,"-1","empoer merkel taeuscht zuschau beim tvduell zum dieselskandal hier der video beweis",1,-1,"GRUENE","BriHasselmann",2
882889272864452608,"-1","jun tomiak wer hass saet wird gewalt ernt klar bekenntnis polit gewalt durch gruen agh berlin g20",1,-1,"AfD","haraldlaatsch",11
821300917911879680,"-1","das wichtig kampf geg die extrem recht rassismus und antisemitismus ist die foerder von demokrati und gelebt antifaschismus",2,-1,"GRUENE","sven_kindler",35
874207982162259968,"-1","geplant grundrechtseingriff der innenminist sind ebenso armsel wie boesart",1,-3,"DIE LINKE","UllaJelpke",14
849170436516663296,"-1","aktivist tot nach giftgas anschlag syri syri giftgas",2,-1,"GRUENE","A_Schillhaneck",24
8.85495921685e+17,"-1","liu xiaobo ist tot wir trau ein mutig und standhaft streit fuer menschenrecht sein stimm wird fehl",2,-3,"SPD","tsghessen",10
873842016819531776,"-1","ein jaehrig amerikan tourist ist sonntagmorg der spree ertrunk",1,-1,"SPD","TomSchreiberMdA",14
874179196037324800,"-1","das ist ein unverzeih verantwortungslos tausend menschenleb sind gefaehrdet sofort abschalt",1,-1,"GRUENE","BernhardBraunLT",14
906097197619576832,"-1","das wird bay well schlag franz josef strauss wuerd afd waehl",1,-1,"AfD","VolkerOlenicak",2
899711593986052096,"-1","und spdcdu lass pruef stellenanforder des datenschuetz gerechtfertigt sind laech hauf",2,-1,"DIE LINKE","rettirp",4
889416804648484864,"-1","berlin neukoelln buchlad schliesst nach drohung der antifa",1,-1,"CDU","drthomasfeist",8
899983451373359104,"-1","vor jahr begann die rassist gewalt rostock lichtenhag sie hat mein einsatz geg ausgrenz gewalt massgeb gepraegt",1,-1,"GRUENE","cem_oezdemir",4
884211041357443072,"-1","nordkorea verfuegt ueb interkontinentalraket die alaska treff koennt",1,-1,"CSU","koschyk",10
855054671857233920,"-1","verfolg von schwul maenn tschetscheni das hat geantwortet mit",1,-2,"DIE LINKE","HPetzold",22
871022860793524224,"-1","die gerda hat recht spd konfus und straftaet und gefaehrd muess weiterhin zurueck nach afghanistan",2,-2,"CDU","MGrosseBroemer",16
900968310010822656,"-1","nach merkel besuch vacha jung wahlkampfhelf der cdu zusamm geschlag krankenhaus polizei ermittelt",1,-1,"CDU","ChristianHirte",4
838291242739957760,"-1","herstell betrueg bei diesel abgas wenn dobrindt umruest anordn wuerd braeucht wir fahrverbot nicht",1,-3,"GRUENE","Oliver_Krischer",28
879661556086317056,"-1","kaliforni macht vor und warnt vor monsanto pflanzengift glyphosat weg krebsgefahr",2,-1,"SPD","RitaHaglKehl",12
905334488707858432,"-1","heut eroeffn des erinnerungsort fuer die opf des olympia attentat muench unschuld opf mahn uns",2,-1,"CSU","JohannesSingham",2
906754107528155136,"-1","fuer wie dumm halt die altpartei eigent den buerg afd traudichdeutschland btw17",1,-1,"AfD","Loose_AfD",1
908328410245734400,"-1","razzia reichsbuerg baut fak waff scharf waff",2,-1,"SPD","TomSchreiberMdA",1
898109889578446848,"-1","sexismus ist uebrig auch wenn kurz hos plenumth ein probl sind kurz roeck aber voellig ordnung stillneedfeminism",2,-1,"GRUENE","henfling_m",5
911093219965927424,"-1","mueck ist herb geht sterb",2,-1,"DIE LINKE","UdoWolfMdA",0
896005922547478528,"-1","afd plakatiert unerlaubt vor helf ordnungsamt beim entfern afd spielt opf",1,-1,"GRUENE","junomaerz",6
835783788831600640,"-1","das haft protokoll beweg text von aus dem knast freedeniz",1,-1,"GRUENE","K_SA",29
867313335011860480,"-1","moenchengladbach ist die polizei mit stimmenauszaehl befasst wir pruef wahlbetrug betracht kommt",1,-1,"AfD","Fuer_Iserlohn",17
919110721522294784,"-1","obdachlos prostituiert mord berlin leidet unt rotrotgru video podcast",1,-4,"AfD","haraldlaatsch",-2
883291477140533248,"-1","hamburg g20 aktuell verletzt beamt wahnsinn",2,-1,"AfD","CarstenPaulHtte",11
